Title,Author,Date,Link
Solemn Assembly,Henry B. Eyring,2018-04,https://www.lds.org/general-conference/2018/04/solemn-assembly?lang=eng
Precious Gifts from God,M. Russell Ballard,2018-04,https://www.lds.org/general-conference/2018/04/precious-gifts-from-god?lang=eng
Am I a Child of God,Brian K. Taylor,2018-04,https://www.lds.org/general-conference/2018/04/am-i-a-child-of-god?lang=eng
Even as Christ Forgives You So Also Do Ye,Larry J. Echo Hawk,2018-04,https://www.lds.org/general-conference/2018/04/even-as-christ-forgives-you-so-also-do-ye?lang=eng
The Heart of a Prophet,Gary E. Stevenson,2018-04,https://www.lds.org/general-conference/2018/04/the-heart-of-a-prophet?lang=eng
Until Seventy Times Seven,Lynn G. Robbins,2018-04,https://www.lds.org/general-conference/2018/04/until-seventy-times-seven?lang=eng
The Prophet of God,Neil L. Andersen,2018-04,https://www.lds.org/general-conference/2018/04/the-prophet-of-god?lang=eng
The Sustaining of Church Officers,Dallin H. Oaks,2018-04,https://www.lds.org/general-conference/2018/04/the-sustaining-of-church-officers?lang=eng
Church Auditing Department Report 2017,Kevin R. Jergensen,2018-04,https://www.lds.org/general-conference/2018/04/church-auditing-department-report-2017?lang=eng
Meek and Lowly of Heart,David A. Bednar,2018-04,https://www.lds.org/general-conference/2018/04/meek-and-lowly-of-heart?lang=eng
One More Day,Taylor G. Godoy,2018-04,https://www.lds.org/general-conference/2018/04/one-more-day?lang=eng
Young Women in the Work,Bonnie L. Oscarson,2018-04,https://www.lds.org/general-conference/2018/04/young-women-in-the-work?lang=eng
Saving Ordinances Will Bring Us Marvelous Light,Taniela B. Wakolo,2018-04,https://www.lds.org/general-conference/2018/04/saving-ordinances-will-bring-us-marvelous-light?lang=eng
Teaching in the Homea Joyful and Sacred Responsibility,Devin G. Durrant,2018-04,https://www.lds.org/general-conference/2018/04/teaching-in-the-home-a-joyful-and-sacred-responsibility?lang=eng
Family History and Temple Work: Sealing and Healing,Dale G. Renlund,2018-04,https://www.lds.org/general-conference/2018/04/family-history-and-temple-work-sealing-and-healing?lang=eng
What Every Aaronic Priesthood Holder Needs to Understand,Douglas D. Holmes,2018-04,https://www.lds.org/general-conference/2018/04/what-every-aaronic-priesthood-holder-needs-to-understand?lang=eng
Introductory Remarks,Russell M. Nelson,2018-04,https://www.lds.org/general-conference/2018/04/introductory-remarks?lang=eng
The Elders Quorum,D. Todd Christofferson,2018-04,https://www.lds.org/general-conference/2018/04/the-elders-quorum?lang=eng
Behold A Royal Army,Ronald A. Rasband,2018-04,https://www.lds.org/general-conference/2018/04/behold-a-royal-army?lang=eng
Inspired Ministering,Henry B. Eyring,2018-04,https://www.lds.org/general-conference/2018/04/inspired-ministering?lang=eng
The Powers of the Priesthood,Dallin H. Oaks,2018-04,https://www.lds.org/general-conference/2018/04/the-powers-of-the-priesthood?lang=eng
Ministering with the Power and Authority of God,Russell M. Nelson,2018-04,https://www.lds.org/general-conference/2018/04/ministering-with-the-power-and-authority-of-god?lang=eng
Take the Holy Spirit as Your Guide,Larry Y. Wilson,2018-04,https://www.lds.org/general-conference/2018/04/take-the-holy-spirit-as-your-guide?lang=eng
With One Accord,Reyna I. Aburto,2018-04,https://www.lds.org/general-conference/2018/04/with-one-accord?lang=eng
Pure Love: The True Sign of Every True Disciple of Jesus Christ,Massimo De Feo,2018-04,https://www.lds.org/general-conference/2018/04/pure-love-the-true-sign-of-every-true-disciple-of-jesus-christ?lang=eng
